"","station_nm","agency_cd","site_no","dec_lat_va","dec_lon_va","hucCd","OrganizationIdentifier","OrganizationFormalName","MonitoringLocationIdentifier","MonitoringLocationName","MonitoringLocationTypeName","MonitoringLocationDescriptionText","HUCEightDigitCode","DrainageAreaMeasure.MeasureValue","DrainageAreaMeasure.MeasureUnitCode","ContributingDrainageAreaMeasure.MeasureValue","ContributingDrainageAreaMeasure.MeasureUnitCode","LatitudeMeasure","LongitudeMeasure","SourceMapScaleNumeric","HorizontalAccuracyMeasure.MeasureValue","HorizontalAccuracyMeasure.MeasureUnitCode","HorizontalCollectionMethodName","HorizontalCoordinateReferenceSystemDatumName","VerticalMeasure.MeasureValue","VerticalMeasure.MeasureUnitCode","VerticalAccuracyMeasure.MeasureValue","VerticalAccuracyMeasure.MeasureUnitCode","VerticalCollectionMethodName","VerticalCoordinateReferenceSystemDatumName","CountryCode","StateCode","CountyCode","AquiferName","FormationTypeText","AquiferTypeName","ConstructionDateText","WellDepthMeasure.MeasureValue","WellDepthMeasure.MeasureUnitCode","WellHoleDepthMeasure.MeasureValue","WellHoleDepthMeasure.MeasureUnitCode","ProviderName"
"447","PINEY RUN AT RESTON, VA","USGS-VA","USGS-01645950",38.9803878,-77.3188727,"02070008","USGS-VA","USGS Virginia Water Science Center","USGS-01645950","PINEY RUN AT RESTON, VA","Stream",NA,"02070008",2.05,"sq mi",NA,NA,38.9803878,-77.3188727,24000,"Unknown","Unknown","Interpolated from map","NAD83","285.39","feet","01","feet","Unknown","NGVD29","US",51,"059",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"448","PINEY RUN AT MOUTH NEAR GREAT FALLS, VA","USGS-VA","USGS-0164595661",38.9837211,-77.2863714,"02070008","USGS-VA","USGS Virginia Water Science Center","USGS-0164595661","PINEY RUN AT MOUTH NEAR GREAT FALLS, VA","Stream",NA,"02070008",4.05,"sq mi",NA,NA,38.9837211,-77.2863714,24000,"1","seconds","Interpolated from map","NAD83",NA,NA,NA,NA,NA,NA,"US",51,"059",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"449","CAPTAIN HICKORY RUN AT MOUTH AT KENMORE, VA","USGS-VA","USGS-0164596042",38.9723324,-77.2769267,"02070008","USGS-VA","USGS Virginia Water Science Center","USGS-0164596042","CAPTAIN HICKORY RUN AT MOUTH AT KENMORE, VA","Stream",NA,"02070008",6.7,"sq mi",NA,NA,38.9723324,-77.2769267,24000,"1","seconds","Interpolated from map","NAD83",NA,NA,NA,NA,NA,NA,"US",51,"059",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"450","ROCKY RUN AT MOUTH NEAR GREAT FALLS, VA","USGS-VA","USGS-0164599725",38.9756944,-77.2464444,"02070008","USGS-VA","USGS Virginia Water Science Center","USGS-0164599725","ROCKY RUN AT MOUTH NEAR GREAT FALLS, VA","Stream",NA,"02070008",3.27,"sq mi",NA,NA,38.9756944,-77.2464444,24000,"1","seconds","Global positioning system (GPS), uncorrected","NAD83",NA,NA,NA,NA,NA,NA,"US",51,"059",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"451","DIFFICULT RUN NEAR GREAT FALLS, VA","USGS-VA","USGS-01646000",38.9759435,-77.2458144,"02070008","USGS-VA","USGS Virginia Water Science Center","USGS-01646000","DIFFICULT RUN NEAR GREAT FALLS, VA","Stream",NA,"02070008",57.8,"sq mi",NA,NA,38.9759435,-77.2458144,24000,"Unknown","Unknown","Interpolated from map","NAD83","150.94","feet",".13","feet",NA,"NAVD88","US",51,"059",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"452","SCOTT RUN NEAR MCLEAN, VA","USGS-VA","USGS-01646200",38.9589994,-77.205536,"02070008","USGS-VA","USGS Virginia Water Science Center","USGS-01646200","SCOTT RUN NEAR MCLEAN, VA","Stream",NA,"02070008",4.67,"sq mi",NA,NA,38.9589994,-77.205536,24000,"Unknown","Unknown","Interpolated from map","NAD83","145.75","feet","1","feet","Unknown","NGVD29","US",51,"059",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"453","DEAD RUN NEAR MCLEAN, VA","USGS-VA","USGS-01646300",38.9553883,-77.1805355,"02070008","USGS-VA","USGS Virginia Water Science Center","USGS-01646300","DEAD RUN NEAR MCLEAN, VA","Stream",NA,"02070008",1.89,"sq mi",NA,NA,38.9553883,-77.1805355,24000,"Unknown","Unknown","Interpolated from map","NAD83",NA,NA,NA,NA,NA,NA,"US",51,"059",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"454","DEAD RUN AT WHANN AVENUE NEAR MCLEAN, VA","USGS-VA","USGS-01646305",38.9597772,-77.1756743,"02070008","USGS-VA","USGS Virginia Water Science Center","USGS-01646305","DEAD RUN AT WHANN AVENUE NEAR MCLEAN, VA","Stream",NA,"02070008",2.05,"sq mi",NA,NA,38.9597772,-77.1756743,24000,".1","seconds","Interpolated from map","NAD83","177.18","feet",".11","feet",NA,"NAVD88","US",51,"059",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"455","PIMMIT RUN NEAR FALLS CHURCH, VA","USGS-VA","USGS-01646600",38.9115002,-77.1844248,"02070010","USGS-VA","USGS Virginia Water Science Center","USGS-01646600","PIMMIT RUN NEAR FALLS CHURCH, VA","Stream",NA,"02070010",2.88,"sq mi",NA,NA,38.9115002,-77.1844248,24000,"Unknown","Unknown","Interpolated from map","NAD83","269.55","feet",".01","feet","Unknown","NGVD29","US",51,"059",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"456","PIMMIT RUN AT ARLINGTON, VA","USGS-VA","USGS-01646700",38.9362221,-77.1391458,"02070010","USGS-VA","USGS Virginia Water Science Center","USGS-01646700","PIMMIT RUN AT ARLINGTON, VA","Stream",NA,"02070010",8.26,"sq mi",NA,NA,38.9362221,-77.1391458,24000,"Unknown","Unknown","Interpolated from map","NAD83","129.12","feet",".01","feet","Unknown","NGVD29","US",51,"059",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"457","LITTLE PIMMIT RUN TRIBUTARY AT ARLINGTON, VA","USGS-VA","USGS-01646750",38.9051115,-77.137757,"02070010","USGS-VA","USGS Virginia Water Science Center","USGS-01646750","LITTLE PIMMIT RUN TRIBUTARY AT ARLINGTON, VA","Stream",NA,"02070010",0.43,"sq mi",NA,NA,38.9051115,-77.137757,24000,"Unknown","Unknown","Interpolated from map","NAD83",NA,NA,NA,NA,NA,NA,"US",51,"013",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"458","LITTLE PIMMIT RUN AT ARLINGTON, VA","USGS-VA","USGS-01646800",38.9228889,-77.1449794,"02070010","USGS-VA","USGS Virginia Water Science Center","USGS-01646800","LITTLE PIMMIT RUN AT ARLINGTON, VA","Stream",NA,"02070010",2.31,"sq mi",NA,NA,38.9228889,-77.1449794,24000,"Unknown","Unknown","Interpolated from map","NAD83","186.30","feet",".01","feet","Unknown","NGVD29","US",51,"059",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"459","LONG BRANCH AT ARLINGTON, VA","USGS-VA","USGS-01652400",38.8587234,-77.1266459,"02070010","USGS-VA","USGS Virginia Water Science Center","USGS-01652400","LONG BRANCH AT ARLINGTON, VA","Stream",NA,"02070010",0.94,"sq mi",NA,NA,38.8587234,-77.1266459,24000,"Unknown","Unknown","Interpolated from map","NAD83","184","feet","1","feet","Interpolated from topographic map","NGVD29","US",51,"013",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"460","LUCKY RUN AT ARLINGTON, VA","USGS-VA","USGS-01652470",38.8426126,-77.1041453,"02070010","USGS-VA","USGS Virginia Water Science Center","USGS-01652470","LUCKY RUN AT ARLINGTON, VA","Stream",NA,"02070010",1.3,"sq mi",NA,NA,38.8426126,-77.1041453,24000,"Unknown","Unknown","Interpolated from map","NAD83",NA,NA,NA,NA,NA,NA,"US",51,"013",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"461","FOURMILE RUN AT ALEXANDRIA, VA","USGS-VA","USGS-01652500",38.8433333,-77.0858611,"02070010","USGS-VA","USGS Virginia Water Science Center","USGS-01652500","FOURMILE RUN AT ALEXANDRIA, VA","Stream",NA,"02070010",12.6,"sq mi",NA,NA,38.8433333,-77.0858611,24000,".1","seconds","Global positioning system (GPS), uncorrected","NAD83","28.57","feet","5","feet","Interpolated from topographic map","NGVD29","US",51,"013",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"462","HOLMES RUN AT MERRIFIELD, VA","USGS-VA","USGS-01652600",38.8659454,-77.2122037,"02070010","USGS-VA","USGS Virginia Water Science Center","USGS-01652600","HOLMES RUN AT MERRIFIELD, VA","Stream",NA,"02070010",2.73,"sq mi",NA,NA,38.8659454,-77.2122037,24000,"Unknown","Unknown","Interpolated from map","NAD83","285.65","feet","1","feet","Unknown","NGVD29","US",51,"059",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"463","HOLMES RUN NEAR ANNANDALE, VA","USGS-VA","USGS-01652610",38.8465013,-77.1741473,"02070010","USGS-VA","USGS Virginia Water Science Center","USGS-01652610","HOLMES RUN NEAR ANNANDALE, VA","Stream",NA,"02070010",7.11,"sq mi",NA,NA,38.8465013,-77.1741473,24000,"Unknown","Unknown","Interpolated from map","NAD83","215.00","feet","1","feet","Unknown","NGVD29","US",51,"059",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"464","TRIPPS RUN AT FALLS CHURCH, VA","USGS-VA","USGS-01652620",38.8795563,-77.1788694,"02070010","USGS-VA","USGS Virginia Water Science Center","USGS-01652620","TRIPPS RUN AT FALLS CHURCH, VA","Stream",NA,"02070010",1.91,"sq mi",NA,NA,38.8795563,-77.1788694,24000,"Unknown","Unknown","Interpolated from map","NAD83","273.09","feet",".01","feet","Level or other surveying method","NGVD29","US",51,"059",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"465","TRIPPS RUN TRIBUTARY NEAR FALLS CHURCH, VA","USGS-VA","USGS-01652645",38.8651121,-77.1708137,"02070010","USGS-VA","USGS Virginia Water Science Center","USGS-01652645","TRIPPS RUN TRIBUTARY NEAR FALLS CHURCH, VA","Stream",NA,"02070010",0.51,"sq mi",NA,NA,38.8651121,-77.1708137,24000,"Unknown","Unknown","Interpolated from map","NAD83","245.00","feet","1","feet","Unknown","NGVD29","US",51,"059",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"466","TRIPPS RUN NEAR FALLS CHURCH, VA","USGS-VA","USGS-01652650",38.86039,-77.1655358,"02070010","USGS-VA","USGS Virginia Water Science Center","USGS-01652650","TRIPPS RUN NEAR FALLS CHURCH, VA","Stream",NA,"02070010",4.63,"sq mi",NA,NA,38.86039,-77.1655358,24000,"Unknown","Unknown","Interpolated from map","NAD83",NA,NA,NA,NA,NA,NA,"US",51,"059",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"467","HOLMES RUN BELOW LAKE BARCROFT, NR ALEXANDRIA, VA","USGS-VA","USGS-01652670",38.8409459,-77.1438687,"02070010","USGS-VA","USGS Virginia Water Science Center","USGS-01652670","HOLMES RUN BELOW LAKE BARCROFT, NR ALEXANDRIA, VA","Stream",NA,"02070010",14.8,"sq mi",NA,NA,38.8409459,-77.1438687,24000,"Unknown","Unknown","Interpolated from map","NAD83","132.10","feet","1","feet","Unknown","NGVD29","US",51,"059",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"468","BACKLICK RUN AT SPRINGFIELD, VA","USGS-VA","USGS-01652710",38.8015021,-77.1869258,"02070010","USGS-VA","USGS Virginia Water Science Center","USGS-01652710","BACKLICK RUN AT SPRINGFIELD, VA","Stream",NA,"02070010",2.08,"sq mi",NA,NA,38.8015021,-77.1869258,24000,"Unknown","Unknown","Interpolated from map","NAD83","206.94","feet","1","feet","Unknown","NGVD29","US",51,"059",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"469","INDIAN RUN AT BREN MAR DRIVE AT ALEXANDRIA, VA","USGS-VA","USGS-01652789",38.7998056,-77.1493611,"02070010","USGS-VA","USGS Virginia Water Science Center","USGS-01652789","INDIAN RUN AT BREN MAR DRIVE AT ALEXANDRIA, VA","Stream",NA,"02070010",2.45,"sq mi",NA,NA,38.7998056,-77.1493611,24000,"1","seconds","Global positioning system (GPS), uncorrected","NAD83","90.1","feet",".1","feet","Global Positioning System","NAVD88","US",51,"059",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"470","TURKEYCOCK RUN AT ALEXANDRIA, VA","USGS-VA","USGS-01652810",38.8101131,-77.151369,"02070010","USGS-VA","USGS Virginia Water Science Center","USGS-01652810","TURKEYCOCK RUN AT ALEXANDRIA, VA","Stream",NA,"02070010",2.28,"sq mi",NA,NA,38.8101131,-77.151369,24000,"Unknown","Unknown","Interpolated from map","NAD83","141.48","feet",".01","feet","Unknown","NGVD29","US",51,"059",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"471","TURKEYCOCK RUN AT EDSALL RD AT ALEXANDRIA, VA","USGS-VA","USGS-01652860",38.8041667,-77.1451389,"02070010","USGS-VA","USGS Virginia Water Science Center","USGS-01652860","TURKEYCOCK RUN AT EDSALL RD AT ALEXANDRIA, VA","Stream",NA,"02070010",2.59,"sq mi",NA,NA,38.8041667,-77.1451389,24000,"1","seconds","Global positioning system (GPS), uncorrected","NAD83","94.7","feet",".1","feet","Global Positioning System","NAVD88","US",51,"059",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"472","BACKLICK RUN AT ALEXANDRIA, VA","USGS-VA","USGS-01652910",38.8031688,-77.1277572,"02070010","USGS-VA","USGS Virginia Water Science Center","USGS-01652910","BACKLICK RUN AT ALEXANDRIA, VA","Stream",NA,"02070010",13.5,"sq mi",NA,NA,38.8031688,-77.1277572,24000,"Unknown","Unknown","Interpolated from map","NAD83","69.97","feet",".01","feet","Unknown","NGVD29","US",51,"510",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"473","CAMERON RUN AT ALEXANDRIA, VA","USGS-VA","USGS-01653000",38.8065021,-77.1097011,"02070010","USGS-VA","USGS Virginia Water Science Center","USGS-01653000","CAMERON RUN AT ALEXANDRIA, VA","Stream",NA,"02070010",33.9,"sq mi",NA,NA,38.8065021,-77.1097011,24000,"1","seconds","Interpolated from map","NAD83","31.01","feet",".09","feet",NA,"NAVD88","US",51,"510",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"474","PIKE BRANCH AT ALEXANDRIA, VA","USGS-VA","USGS-01653210",38.7931691,-77.0835892,"02070010","USGS-VA","USGS Virginia Water Science Center","USGS-01653210","PIKE BRANCH AT ALEXANDRIA, VA","Stream",NA,"02070010",2.59,"sq mi",NA,NA,38.7931691,-77.0835892,24000,"Unknown","Unknown","Interpolated from map","NAD83","33.17","feet",".01","feet","Unknown","NGVD29","US",51,"059",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"475","TAYLOR RUN AT ALEXANDRIA, VA","USGS-VA","USGS-01653410",38.8084466,-77.0749778,"02070010","USGS-VA","USGS Virginia Water Science Center","USGS-01653410","TAYLOR RUN AT ALEXANDRIA, VA","Stream",NA,"02070010",1,"sq mi",NA,NA,38.8084466,-77.0749778,24000,"Unknown","Unknown","Interpolated from map","NAD83",NA,NA,NA,NA,NA,NA,"US",51,"059",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"476","PENN DAW OUTFALL AT ALEXANDRIA, VA","USGS-VA","USGS-01653447",38.7887247,-77.0646997,"02070010","USGS-VA","USGS Virginia Water Science Center","USGS-01653447","PENN DAW OUTFALL AT ALEXANDRIA, VA","Stream",NA,"02070010",0.79,"sq mi",NA,NA,38.7887247,-77.0646997,24000,"Unknown","Unknown","Interpolated from map","NAD83","13.54","feet",".01","feet","Unknown","NGVD29","US",51,"059",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"477","LITTLE HUNTING CREEK AT GUM SPRINGS, VA","USGS-VA","USGS-01653700",38.7392812,-77.0885894,"02070010","USGS-VA","USGS Virginia Water Science Center","USGS-01653700","LITTLE HUNTING CREEK AT GUM SPRINGS, VA","Stream",NA,"02070010",1.97,"sq mi",NA,NA,38.7392812,-77.0885894,24000,"Unknown","Unknown","Interpolated from map","NAD83","7.17","feet",".01","feet","Unknown","NGVD29","US",51,"059",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"478","PAUL SPRING BR AB NORTH BRANCH NR GUM SPRINGS, VA","USGS-VA","USGS-01653717",38.74375,-77.0669444,"02070010","USGS-VA","USGS Virginia Water Science Center","USGS-01653717","PAUL SPRING BR AB NORTH BRANCH NR GUM SPRINGS, VA","Stream",NA,"02070010",1.89,"sq mi",NA,NA,38.74375,-77.0669444,24000,"1","seconds","Global positioning system (GPS), uncorrected","NAD83","-12.6","feet",".1","feet","Global Positioning System","NAVD88","US",51,"059",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"479","DOGUE CREEK NEAR ACCOTINK, VA","USGS-VA","USGS-01653800",38.719004,-77.1285906,"02070010","USGS-VA","USGS Virginia Water Science Center","USGS-01653800","DOGUE CREEK NEAR ACCOTINK, VA","Stream",NA,"02070010",10.8,"sq mi",NA,NA,38.719004,-77.1285906,24000,"Unknown","Unknown","Interpolated from map","NAD83","2.67","feet",".01","feet","Level or other surveying method","NGVD29","US",51,"059",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"480","DOGUE CREEK EAST TRIBUTARY NEAR ACCOTINK, VA","USGS-VA","USGS-01653840",38.7223372,-77.1219237,"02070010","USGS-VA","USGS Virginia Water Science Center","USGS-01653840","DOGUE CREEK EAST TRIBUTARY NEAR ACCOTINK, VA","Stream",NA,"02070010",1.83,"sq mi",NA,NA,38.7223372,-77.1219237,24000,"Unknown","Unknown","Interpolated from map","NAD83",NA,NA,NA,NA,NA,NA,"US",51,"059",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"481","ACCOTINK CREEK AT FAIRFAX, VA","USGS-VA","USGS-01653900",38.8609454,-77.2710943,"02070010","USGS-VA","USGS Virginia Water Science Center","USGS-01653900","ACCOTINK CREEK AT FAIRFAX, VA","Stream",NA,"02070010",6.86,"sq mi",NA,NA,38.8609454,-77.2710943,24000,"Unknown","Unknown","Interpolated from map","NAD83","278.72","feet","1","feet","Unknown","NGVD29","US",51,"059",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"482","LONG BRANCH AT VIENNA, VA","USGS-VA","USGS-01653950",38.8731674,-77.2424822,"02070010","USGS-VA","USGS Virginia Water Science Center","USGS-01653950","LONG BRANCH AT VIENNA, VA","Stream",NA,"02070010",1.21,"sq mi",NA,NA,38.8731674,-77.2424822,24000,"Unknown","Unknown","Interpolated from map","NAD83","300.06","feet",".01","feet","Level or other surveying method","NGVD29","US",51,"059",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"483","ACCOTINK CREEK NEAR ANNANDALE, VA","USGS-VA","USGS-01654000",38.8128907,-77.2283158,"02070010","USGS-VA","USGS Virginia Water Science Center","USGS-01654000","ACCOTINK CREEK NEAR ANNANDALE, VA","Stream",NA,"02070010",23.9,"sq mi",NA,NA,38.8128907,-77.2283158,24000,"Unknown","Unknown","Interpolated from map","NAD83","191.24","feet",".01","feet","Level or other surveying method","NGVD29","US",51,"059",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"484","LONG BRANCH NEAR ANNANDALE, VA","USGS-VA","USGS-01654500",38.8109462,-77.2349827,"02070010","USGS-VA","USGS Virginia Water Science Center","USGS-01654500","LONG BRANCH NEAR ANNANDALE, VA","Stream",NA,"02070010",3.72,"sq mi",NA,NA,38.8109462,-77.2349827,24000,"Unknown","Unknown","Interpolated from map","NAD83","190.64","feet",".11","feet",NA,"NAVD88","US",51,"059",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"485","CALAMO BRANCH TRIBUTARY AT SPRINGFIELD, VA","USGS-VA","USGS-01654700",38.7745581,-77.1897038,"02070010","USGS-VA","USGS Virginia Water Science Center","USGS-01654700","CALAMO BRANCH TRIBUTARY AT SPRINGFIELD, VA","Stream",NA,"02070010",0.28,"sq mi",NA,NA,38.7745581,-77.1897038,24000,"Unknown","Unknown","Interpolated from map","NAD83",NA,NA,NA,NA,NA,NA,"US",51,"059",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"486","ACCOTINK CREEK NEAR ACCOTINK STATION, VA","USGS-VA","USGS-01655000",38.7542806,-77.2022044,"02070010","USGS-VA","USGS Virginia Water Science Center","USGS-01655000","ACCOTINK CREEK NEAR ACCOTINK STATION, VA","Stream",NA,"02070010",37.1,"sq mi",NA,NA,38.7542806,-77.2022044,24000,"Unknown","Unknown","Interpolated from map","NAD83","119.48","feet","1","feet","Unknown","NGVD29","US",51,"059",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"487","RABBIT BRANCH NEAR BURKE, VA","USGS-VA","USGS-01655310",38.8017799,-77.2883176,"02070010","USGS-VA","USGS Virginia Water Science Center","USGS-01655310","RABBIT BRANCH NEAR BURKE, VA","Stream",NA,"02070010",3.82,"sq mi",NA,NA,38.8017799,-77.2883176,24000,"Unknown","Unknown","Interpolated from map","NAD83","267.66","feet","1","feet","Unknown","NGVD29","US",51,"059",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"488","SIDEBURN BRANCH AT FAIRFAX STATION, VA","USGS-VA","USGS-01655320",38.7984467,-77.3066514,"02070010","USGS-VA","USGS Virginia Water Science Center","USGS-01655320","SIDEBURN BRANCH AT FAIRFAX STATION, VA","Stream",NA,"02070010",1.63,"sq mi",NA,NA,38.7984467,-77.3066514,24000,"Unknown","Unknown","Interpolated from map","NAD83","301.29","feet","1","feet","Unknown","NGVD29","US",51,"059",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"489","POHICK CREEK TRIBUTARY NEAR BURKE, VA","USGS-VA","USGS-01655340",38.7734469,-77.2516503,"02070010","USGS-VA","USGS Virginia Water Science Center","USGS-01655340","POHICK CREEK TRIBUTARY NEAR BURKE, VA","Stream",NA,"02070010",0.33,"sq mi",NA,NA,38.7734469,-77.2516503,24000,"Unknown","Unknown","Interpolated from map","NAD83",NA,NA,NA,NA,NA,NA,"US",51,"059",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"490","POHICK CREEK NEAR SPRINGFIELD, VA","USGS-VA","USGS-01655350",38.757336,-77.2266497,"02070010","USGS-VA","USGS Virginia Water Science Center","USGS-01655350","POHICK CREEK NEAR SPRINGFIELD, VA","Stream",NA,"02070010",15.2,"sq mi",NA,NA,38.757336,-77.2266497,24000,"Unknown","Unknown","Interpolated from map","NAD83","164.14","feet","1","feet","Unknown","NGVD29","US",51,"059",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"491","SANGSTER BRANCH NEAR BURKE, VA","USGS-VA","USGS-01655360",38.758725,-77.2733177,"02070010","USGS-VA","USGS Virginia Water Science Center","USGS-01655360","SANGSTER BRANCH NEAR BURKE, VA","Stream",NA,"02070010",0.14,"sq mi",NA,NA,38.758725,-77.2733177,24000,"Unknown","Unknown","Interpolated from map","NAD83",NA,NA,NA,NA,NA,NA,"US",51,"059",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"492","MIDDLE RUN NEAR LORTON, VA","USGS-VA","USGS-01655370",38.7503917,-77.2338722,"02070010","USGS-VA","USGS Virginia Water Science Center","USGS-01655370","MIDDLE RUN NEAR LORTON, VA","Stream",NA,"02070010",3.64,"sq mi",NA,NA,38.7503917,-77.2338722,24000,"Unknown","Unknown","Interpolated from map","NAD83","169.55","feet","1","feet","Unknown","NGVD29","US",51,"059",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"493","SOUTH RUN NEAR LORTON, VA","USGS-VA","USGS-01655380",38.7365032,-77.2524838,"02070010","USGS-VA","USGS Virginia Water Science Center","USGS-01655380","SOUTH RUN NEAR LORTON, VA","Stream",NA,"02070010",6.3,"sq mi",NA,NA,38.7365032,-77.2524838,24000,"Unknown","Unknown","Interpolated from map","NAD83","189.48","feet","1","feet","Unknown","NGVD29","US",51,"059",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"494","POHICK CREEK AT LORTON, VA","USGS-VA","USGS-01655390",38.7040043,-77.2141488,"02070010","USGS-VA","USGS Virginia Water Science Center","USGS-01655390","POHICK CREEK AT LORTON, VA","Stream",NA,"02070010",31.3,"sq mi",NA,NA,38.7040043,-77.2141488,24000,"Unknown","Unknown","Interpolated from map","NAD83","26.42","feet",".01","feet","Level or other surveying method","NGVD29","US",51,"059",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"495","CEDAR RUN NEAR WARRENTON, VA","USGS-VA","USGS-01655500",38.7403952,-77.7874933,"02070010","USGS-VA","USGS Virginia Water Science Center","USGS-01655500","CEDAR RUN NEAR WARRENTON, VA","Stream",NA,"02070010",13.1,"sq mi",NA,NA,38.7403952,-77.7874933,24000,"Unknown","Unknown","Interpolated from map","NAD83","419.40","feet","1","feet","Unknown","NGVD29","US",51,"061",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"496","CEDAR RUN NEAR CATLETT, VA","USGS-VA","USGS-01656000",38.6367869,-77.6249897,"02070010","USGS-VA","USGS Virginia Water Science Center","USGS-01656000","CEDAR RUN NEAR CATLETT, VA","Stream",NA,"02070010",93.4,"sq mi",NA,NA,38.6367869,-77.6249897,24000,"Unknown","Unknown","Interpolated from map","NAD83","199.15","feet",".01","feet","Level or other surveying method","NGVD29","US",51,"061",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"497","CEDAR RUN NEAR ADEN, VA","USGS-VA","USGS-01656100",38.6162316,-77.5541545,"02070010","USGS-VA","USGS Virginia Water Science Center","USGS-01656100","CEDAR RUN NEAR ADEN, VA","Stream",NA,"02070010",155,"sq mi",NA,NA,38.6162316,-77.5541545,24000,"Unknown","Unknown","Interpolated from map","NAD83","166.27","feet","1","feet","Unknown","NGVD29","US",51,"153",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"498","GOSLIN RUN NEAR ADEN, VA","USGS-VA","USGS-01656102",38.6112318,-77.550821,"02070010","USGS-VA","USGS Virginia Water Science Center","USGS-01656102","GOSLIN RUN NEAR ADEN, VA","Stream",NA,"02070010",4.82,"sq mi",NA,NA,38.6112318,-77.550821,24000,"1","seconds","Interpolated from map","NAD83","180","feet","1","feet","Unknown","NGVD29","US",51,"153",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"499","CEDAR RUN AT RT 646 NEAR ADEN, VA","USGS-VA","USGS-01656120",38.6415083,-77.5124873,"02070010","USGS-VA","USGS Virginia Water Science Center","USGS-01656120","CEDAR RUN AT RT 646 NEAR ADEN, VA","Stream",NA,"02070010",175,"sq mi",NA,NA,38.6415083,-77.5124873,24000,"Unknown","Unknown","Interpolated from map","NAD83","160","feet","1","feet","Interpolated from topographic map","NGVD29","US",51,"153",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"500","BROAD RUN AT BUCKLAND, VA","USGS-VA","USGS-01656500",38.7806713,-77.6724919,"02070010","USGS-VA","USGS Virginia Water Science Center","USGS-01656500","BROAD RUN AT BUCKLAND, VA","Stream",NA,"02070010",50.2,"sq mi",NA,NA,38.7806713,-77.6724919,24000,"Unknown","Unknown","Interpolated from map","NAD83","284.58","feet","1","feet","Unknown","NGVD29","US",51,"153",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
